SpinWorks peak list for:    C:\Users\Lois\Dropbox\Chemistry\Computing\NMR\Computing project\LMO_3BrAP_1\21\
peak #   freq. (Hz)    freq. (ppm)  intensity  intensity(Absolute)
0001   18540.501    184.2758     0.0133      8170440
0002   15623.005    155.2786     0.0458      28114999
0003   14387.127    142.9950     0.0506      31078690
0004   13468.089    133.8606     0.0655      40229326
0005   13171.199    130.9098     0.0783      48130819
0006   13105.294    130.2548     0.0788      48407524
0007   12743.079    126.6547     0.0749      46050322
0008   12305.596    122.3065     0.0547      33598797
0009   9162.099    91.0630     0.0342      20994966
0010   4536.974    45.0934     0.0220      13504157
0011   4091.526    40.6661     0.1416      87023486
0012   4070.470    40.4568     0.4264      261960186
0013   4049.485    40.2482     0.8561      526004208
0014   4028.479    40.0394     1.0000      614418676
0015   4007.480    39.8307     0.8494      521891140
0016   3986.485    39.6221     0.4220      259303254
0017   3965.521    39.4137     0.1352      83071948
0018   3798.665    37.7553     0.0195      11989274
