SpinWorks peak list for:    C:\Users\Lois\Dropbox\For Lois\Working\LMO_4ClAP_1\10\
peak #   freq. (Hz)    freq. (ppm)  intensity  intensity(Absolute)
0001   3162.045    7.9025     0.8205      13672490
0002   3153.568    7.8814     0.8893      14818927
0003   3091.659    7.7266     0.4442      7402200
0004   3079.452    7.6961     0.4688      7812606
0005   2989.480    7.4713     0.9297      15492561
0006   2981.013    7.4501     0.8471      14115706
0007   2323.822    5.8077     0.4819      8029883
0008   2311.615    5.7772     0.4641      7733634
0009   1324.712    3.3107     0.6542      10901544
0010   1251.112    3.1268     0.9828      16377733
0011   1159.105    2.8968     1.0000      16664171
0012   995.708    2.4885     0.1241      2068724
0013   994.259    2.4848     0.1560      2600066
