SpinWorks peak list for:    C:\Users\Lois\Dropbox\Chemistry\Computing\NMR\Working\LMO_4MeAP_1\12\
peak #   freq. (Hz)    freq. (ppm)  intensity  intensity(Absolute)
0001   13034.802    129.5542     0.3958      2058044
0002   12891.809    128.1330     0.3046      1583499
0003   12355.250    122.8001     0.2202      1144946
0004   11624.706    115.5391     -0.1370      -712179
0005   11623.741    115.5295     -0.1679      -872772
0006   11621.109    115.5034     -1.0000      -5199135
0007   11620.140    115.4937     0.7157      3721035
0008   10885.936    108.1964     -0.1384      -719339
0009   9227.967    91.7177     0.1029      535197
0010   4064.507    40.3975     0.1213      630837
0011   4043.461    40.1884     0.1241      645261
0012   4022.367    39.9787     0.1049      545396
