SpinWorks peak list for:    C:\Users\Lois\Dropbox\Chemistry\Computing\NMR\Working\LMO_4MeAP_1\10\
peak #   freq. (Hz)    freq. (ppm)  intensity  intensity(Absolute)
0001   3115.435    7.7861     0.3067      7880659
0002   3107.376    7.7659     0.3284      8438897
0003   3072.255    7.6781     0.1829      4700385
0004   3059.978    7.6475     0.1913      4915732
0005   2890.004    7.2227     0.2984      7668307
0006   2882.073    7.2028     0.2777      7137538
0007   2320.231    5.7987     0.1942      4990652
0008   2307.953    5.7680     0.1876      4821447
0009   1324.115    3.3092     0.7460      19170293
0010   1243.299    3.1072     0.1866      4795268
0011   1153.036    2.8817     0.1874      4816629
0012   993.647    2.4833     0.0884      2272635
0013   930.064    2.3244     1.0000      25698810
