SpinWorks integral list for:    C:\Users\Lois\Dropbox\Chemistry\Computing\NMR\Computing project\LMO_3BrAP_1\20\

peak #   start (ppm)   end (ppm)  intensity  intensity(Absolute)

001    8.027  7.978  1.0000  80999
002    7.901  7.848  1.0250  83025
003    7.761  7.692  1.0287  83327
004    7.450  7.296  1.0699  86664
005    7.687  7.608  1.0348  83816
006    5.885  5.735  1.0790  87401
007    3.374  3.238  2.4648  199644
008    3.205  3.045  3.2040  259522
009    3.003  2.810  3.1908  258453
010    2.571  2.378  1.6796  136045
