SpinWorks peak list for:    C:\Users\Lois\Dropbox\For Lois\Working\LMO_4ClAP_1\20\
peak #   freq. (Hz)    freq. (ppm)  intensity  intensity(Absolute)
0001   18576.725    184.6358     0.1025      25445575
0002   15584.624    154.8971     0.2392      59392129
0003   14014.177    139.2882     0.2353      58425736
0004   13668.831    135.8558     0.1655      41096165
0005   13022.144    129.4283     0.6984      173417873
0006   12931.621    128.5286     0.7548      187422228
0007   9155.114    90.9936     0.1669      41442625
0008   4518.596    44.9108     0.0746      18521546
0009   4517.123    44.8961     0.0555      13782576
0010   4078.806    40.5396     0.1390      34502885
0011   4057.716    40.3300     0.4363      108328762
0012   4036.718    40.1213     0.8528      211768387
0013   4015.713    39.9126     1.0000      248308793
0014   3994.696    39.7037     0.8506      211220628
0015   3973.714    39.4951     0.4278      106218554
0016   3952.710    39.2864     0.1402      34817773
0017   3776.813    37.5381     0.0641      15907958
0018   3775.716    37.5272     0.0619      15372284
