SpinWorks peak list for:    C:\Users\Lois\Dropbox\For Lois\Working\LMO_4MeAP_1\11\
peak #   freq. (Hz)    freq. (ppm)  intensity  intensity(Absolute)
0001   18696.539    185.8267     0.0906      53306723
0002   15523.985    154.2944     0.1612      94873071
0003   14182.074    140.9570     0.1591      93636431
0004   13876.252    137.9174     0.1309      77049703
0005   12984.326    129.0525     0.4843      284950436
0006   12841.288    127.6308     0.4424      260313741
0007   9177.372    91.2148     0.1470      86472987
0008   4501.728    44.7431     0.0026      1537405
0009   4078.401    40.5356     0.1410      82984312
0010   4057.345    40.3263     0.4277      251639331
0011   4036.337    40.1175     0.8487      499397487
0012   4015.365    39.9091     1.0000      588399639
0013   3994.362    39.7003     0.8421      495506275
0014   3973.371    39.4917     0.4236      249273095
0015   3952.373    39.2830     0.1335      78580412
0016   3754.378    37.3151     0.0011      621354
0017   2146.901    21.3383     0.2266      133358839
