SpinWorks peak list for:    C:\Users\Lois\Dropbox\Chemistry\Computing\NMR\Computing project\LMO_3BrAP_1\20\
peak #   freq. (Hz)    freq. (ppm)  intensity  intensity(Absolute)
0001   3202.730    8.0042     0.2086      6342594
0002   3154.789    7.8844     0.1154      3508428
0003   3147.031    7.8650     0.1252      3805928
0004   3097.776    7.7419     0.1550      4713792
0005   3085.604    7.7115     0.1608      4890494
0006   3066.993    7.6650     0.0924      2808822
0007   3058.758    7.6444     0.1029      3129801
0008   2961.238    7.4007     0.1164      3541156
0009   2953.416    7.3811     0.2005      6098464
0010   2945.565    7.3615     0.0941      2861581
0011   2329.341    5.8215     0.1685      5122713
0012   2317.164    5.7910     0.1636      4974802
0013   1318.189    3.2944     1.0000      30409609
0014   1256.347    3.1398     0.4515      13730257
0015   1167.965    2.9190     0.4580      13928439
0016   995.927    2.4890     0.1993      6062151
0017   994.323    2.4850     0.2592      7882914
0018   992.675    2.4809     0.1973      5999787
